------------------------------------------------
--- Create Proof--------------------------------
Method      Dep Count     Median Time  Samples
------------------------------------------------
ozks                1     0.003934834       35
ozks                2     0.006478625       60
ozks                3     0.009022645       60
ozks                4     0.010313082       15
ozks                5     0.012112396       20
ozks                6     0.012684916       25
ozks                7     0.009184229       10
ozks                8     0.016468459       15
ozks                9     0.016277209       15
ozks               10     0.014915000       10
ozks               11     0.013908958       25
ozks               12     0.019509854       10
ozks               13     0.021542021       20
ozks               14     0.018598604       10
ozks               15     0.017065812       10
ozks               16     0.019849834       45
ozks               17     0.021126541       20
ozks               18     0.024133792       10
ozks               19     0.025389209       35
ozks               20     0.022545791       10
ozks               21     0.025162416       35
ozks               22     0.028049874       15
ozks               24     0.022400875        5
ozks               25     0.031167375        5
ozks               26     0.030072146       14
ozks               27     0.017939875        5
ozks               28     0.030755416       15
ozks               29     0.031011416       20
ozks               30     0.026884167        5
ozks               31     0.026787667       75
ozks               32     0.016467750        5
ozks               33     0.032349021       40
ozks               34     0.038938250        5
ozks               35     0.028241374       10
ozks               36     0.037199834        5
ozks               37     0.034739500       20
ozks               38     0.036441771       20
ozks               39     0.036983187       20
ozks               40     0.038722833        5
ozks               41     0.026836355       10
ozks               42     0.036487541       35
ozks               43     0.030573542        9
ozks               44     0.026978834        5
ozks               45     0.042822979       10
ozks               46     0.038253104       10
ozks               47     0.037600333       35
ozks               48     0.036861458        5
ozks               49     0.033501166        5
ozks               50     0.043204125       25
ozks               51     0.044820625       10
ozks               52     0.035496563       10
ozks               53     0.039709708       30
ozks               54     0.043991167       10
ozks               55     0.031944750      100
ozks               56     0.036998708       25
ozks               57     0.045895812       10
ozks               58     0.048295125        5
ozks               59     0.034447208       25
ozks               60     0.034481333       15
ozks               61     0.044261834       20
ozks               62     0.035126562       30
ozks               63     0.035497458       70
ozks               64     0.036181312       20
ozks               65     0.036499709       35
ozks               66     0.052468625        5
ozks               69     0.038338604       30
ozks               70     0.053267417        5
ozks               71     0.046272959       10
ozks               72     0.053525958       25
ozks               73     0.040339708        5
ozks               74     0.055560251       10
ozks               76     0.055088791        5
ozks               78     0.056113625       10
ozks               81     0.057833125        5
ozks               83     0.054756104       20
ozks               89     0.039646042        5
ozks               90     0.066398167        5
ozks               92     0.069092709        5
ozks               94     0.059164251        5
ozks               96     0.066486730       10
ozks               97     0.065005480       10
ozks               99     0.061642188       50
ozks              100     0.067868750        5
ozks              101     0.060856417        5
ozks              103     0.060705334        5
ozks              106     0.070911791        5
ozks              107     0.069957750       15
ozks              110     0.070259250       10
ozks              112     0.067983958       10
ozks              116     0.069638876        5
ozks              119     0.078564917       10
ozks              120     0.068580834        5
ozks              125     0.062370708        5
ozks              129     0.073603021       10
ozks              130     0.063125959        5
ozks              132     0.079772166        5
ozks              133     0.084111000        5
ozks              134     0.077675042       25
ozks              136     0.076892958        5
ozks              138     0.087460124        5
ozks              139     0.078932334       30
ozks              140     0.076916938       20
ozks              142     0.077165333       20
ozks              143     0.086939125       10
ozks              145     0.086035126       10
ozks              146     0.084264542        5
ozks              149     0.086647125        5
ozks              158     0.090664208        5
ozks              163     0.070535458        5
ozks              165     0.094351874        5
ozks              167     0.092118332       15
ozks              176     0.096196792        5
ozks              178     0.087443250       30
ozks              183     0.094843042        5
ozks              185     0.106203667        5
ozks              186     0.097489750        5
ozks              187     0.100325542        5
ozks              188     0.091566375        5
ozks              189     0.092334417        5
ozks              190     0.093183125        5
ozks              191     0.094638833       10
ozks              206     0.106299166       45
ozks              222     0.107719416       10
