merkle-patricia-trie: (2, 411) (3, 484) (4, 543) (8, 675) (16, 1012) (32, 1276) (64, 1540) (128, 1881) (256, 1936) (512, 2211) (1024, 2541)
merkle-tree: (2, 418) (3, 418) (4, 486) (8, 554) (16, 623) (32, 691) (64, 759) (128, 828) (256, 896) (512, 964) (1024, 1033)
sparse-merkle-tree: (2, 522) (3, 456) (4, 456) (8, 658) (16, 922) (32, 786) (64, 852) (128, 984) (256, 1116) (512, 1318) (1024, 1314)
merkle-patricia-trie: (2, 411) (3, 484) (4, 550) (8, 814) (16, 1012) (32, 1210) (64, 1474) (128, 1815) (256, 1947) (512, 2409) (1024, 2607)
merkle-tree: (2, 418) (3, 418) (4, 486) (8, 554) (16, 623) (32, 691) (64, 759) (128, 828) (256, 896) (512, 964) (1024, 1033)
sparse-merkle-tree: (2, 522) (3, 654) (4, 794) (8, 588) (16, 856) (32, 992) (64, 988) (128, 988) (256, 918) (512, 1050) (1024, 1182)
merkle-patricia-trie: (2, 411) (3, 484) (4, 550) (8, 814) (16, 1012) (32, 1210) (64, 1474) (128, 1815) (256, 1947) (512, 2409) (1024, 2607)
merkle-tree: (2, 418) (3, 418) (4, 486) (8, 554) (16, 623) (32, 691) (64, 759) (128, 828) (256, 896) (512, 964) (1024, 1033)
sparse-merkle-tree: (2, 522) (3, 654) (4, 794) (8, 588) (16, 856) (32, 992) (64, 988) (128, 988) (256, 918) (512, 1050) (1024, 1182)
merkle-patricia-trie: (2, 411) (3, 484) (4, 550) (8, 814) (16, 1012) (32, 1210) (64, 1474) (128, 1815) (256, 1947) (512, 2409) (1024, 2607)
merkle-tree: (2, 418) (3, 418) (4, 486) (8, 554) (16, 623) (32, 691) (64, 759) (128, 828) (256, 896) (512, 964) (1024, 1033)
sparse-merkle-tree: (2, 522) (3, 654) (4, 794) (8, 588) (16, 856) (32, 992) (64, 988) (128, 988) (256, 918) (512, 1050) (1024, 1182)
merkle-patricia-trie: (2, 411) (3, 484) (4, 550) (8, 814) (16, 1012) (32, 1210) (64, 1474) (128, 1815) (256, 1947) (512, 2409) (1024, 2607)
merkle-tree: (2, 418) (3, 418) (4, 486) (8, 554) (16, 623) (32, 691) (64, 759) (128, 828) (256, 896) (512, 964) (1024, 1033)
sparse-merkle-tree: (2, 522) (3, 654) (4, 794) (8, 588) (16, 856) (32, 992) (64, 988) (128, 988) (256, 918) (512, 1050) (1024, 1182)
