merkle-patricia-trie: (2, 0.00006) (3, 0.00002) (4, 0.00002) (8, 0.00003) (16, 0.00004) (32, 0.00006) (64, 0.00011) (128, 0.00020) (256, 0.00036) (512, 0.00065) (1024, 0.00125)
merkle-tree: (2, 0.00022) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00003) (128, 0.00005) (256, 0.00009) (512, 0.00017) (1024, 0.00033)
sparse-merkle-tree: (2, 0.00011) (3, 0.00013) (4, 0.00019) (8, 0.00037) (16, 0.00078) (32, 0.00141) (64, 0.00279) (128, 0.00555) (256, 0.01320) (512, 0.02740) (1024, 0.05781)
merkle-tree: (2, 0.00005) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00003) (128, 0.00005) (256, 0.00009) (512, 0.00017) (1024, 0.00033)
sparse-merkle-tree: (2, 0.00026) (3, 0.00013) (4, 0.00020) (8, 0.00044) (16, 0.00087) (32, 0.00164) (64, 0.00303) (128, 0.00593) (256, 0.01177) (512, 0.02669) (1024, 0.06435)
merkle-patricia-trie: (2, 0.00008) (3, 0.00002) (4, 0.00002) (8, 0.00003) (16, 0.00005) (32, 0.00006) (64, 0.00010) (128, 0.00021) (256, 0.00034) (512, 0.00065) (1024, 0.00123)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00003) (128, 0.00005) (256, 0.00009) (512, 0.00018) (1024, 0.00033)
sparse-merkle-tree: (2, 0.00011) (3, 0.00014) (4, 0.00020) (8, 0.00036) (16, 0.00072) (32, 0.00136) (64, 0.00277) (128, 0.00601) (256, 0.01211) (512, 0.02654) (1024, 0.05712)
merkle-patricia-trie: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00003) (16, 0.00004) (32, 0.00006) (64, 0.00010) (128, 0.00022) (256, 0.00035) (512, 0.00065) (1024, 0.00125)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00003) (128, 0.00005) (256, 0.00010) (512, 0.00017) (1024, 0.00033)
sparse-merkle-tree: (2, 0.00011) (3, 0.00014) (4, 0.00021) (8, 0.00036) (16, 0.00072) (32, 0.00135) (64, 0.00301) (128, 0.00569) (256, 0.01269) (512, 0.02731) (1024, 0.05893)
merkle-patricia-trie: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00002) (16, 0.00004) (32, 0.00006) (64, 0.00011) (128, 0.00022) (256, 0.00035) (512, 0.00063) (1024, 0.00124)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00001) (64, 0.00003) (128, 0.00005) (256, 0.00010) (512, 0.00017) (1024, 0.00033)
sparse-merkle-tree: (2, 0.00011) (3, 0.00015) (4, 0.00019) (8, 0.00041) (16, 0.00074) (32, 0.00137) (64, 0.00280) (128, 0.00560) (256, 0.01272) (512, 0.02728) (1024, 0.05858)
merkle-patricia-trie: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00002) (16, 0.00005) (32, 0.00006) (64, 0.00011) (128, 0.00023) (256, 0.00035) (512, 0.00064) (1024, 0.00124)
