merkle-patricia-trie: (2, 0.00004) (3, 0.00003) (4, 0.00003) (8, 0.00003) (16, 0.00005) (32, 0.00002) (64, 0.00003) (128, 0.00009) (256, 0.00002) (512, 0.00002) (1024, 0.00002)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00004) (128, 0.00005) (256, 0.00009) (512, 0.00014) (1024, 0.00026)
sparse-merkle-tree: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00002) (16, 0.00002) (32, 0.00004) (64, 0.00005) (128, 0.00005) (256, 0.00006) (512, 0.00006) (1024, 0.00007)
oZKS: (2, 0.00051) (3, 0.00105) (4, 0.00071) (8, 0.00071) (16, 0.00090) (32, 0.00093) (64, 0.00095) (128, 0.00123) (256, 0.00089) (512, 0.00078) (1024, 0.00086)
merkle-patricia-trie: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00002) (16, 0.00003) (32, 0.00002) (64, 0.00002) (128, 0.00002) (256, 0.00002) (512, 0.00002) (1024, 0.00002)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00003) (128, 0.00006) (256, 0.00009) (512, 0.00018) (1024, 0.00030)
sparse-merkle-tree: (2, 0.00003) (3, 0.00002) (4, 0.00002) (8, 0.00003) (16, 0.00003) (32, 0.00003) (64, 0.00006) (128, 0.00005) (256, 0.00006) (512, 0.00006) (1024, 0.00007)
oZKS: (2, 0.00059) (3, 0.00056) (4, 0.00069) (8, 0.00054) (16, 0.00073) (32, 0.00067) (64, 0.00074) (128, 0.00115) (256, 0.00070) (512, 0.00071) (1024, 0.00127)
merkle-patricia-trie: (2, 0.00003) (3, 0.00003) (4, 0.00002) (8, 0.00003) (16, 0.00002) (32, 0.00003) (64, 0.00003) (128, 0.00002) (256, 0.00002) (512, 0.00003) (1024, 0.00003)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00003) (128, 0.00006) (256, 0.00009) (512, 0.00019) (1024, 0.00023)
sparse-merkle-tree: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00002) (16, 0.00003) (32, 0.00004) (64, 0.00003) (128, 0.00005) (256, 0.00005) (512, 0.00006) (1024, 0.00007)
oZKS: (2, 0.00147) (3, 0.00098) (4, 0.00088) (8, 0.00055) (16, 0.00073) (32, 0.00133) (64, 0.00101) (128, 0.00109) (256, 0.00089) (512, 0.00074) (1024, 0.00110)
merkle-patricia-trie: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00003) (16, 0.00002) (32, 0.00002) (64, 0.00002) (128, 0.00003) (256, 0.00003) (512, 0.00003) (1024, 0.00002)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00004) (128, 0.00005) (256, 0.00009) (512, 0.00018) (1024, 0.00023)
sparse-merkle-tree: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00003) (16, 0.00002) (32, 0.00003) (64, 0.00003) (128, 0.00005) (256, 0.00006) (512, 0.00006) (1024, 0.00007)
oZKS: (2, 0.00067) (3, 0.00058) (4, 0.00066) (8, 0.00091) (16, 0.00064) (32, 0.00097) (64, 0.00095) (128, 0.00075) (256, 0.00094) (512, 0.00073) (1024, 0.00099)
merkle-patricia-trie: (2, 0.00002) (3, 0.00002) (4, 0.00011) (8, 0.00002) (16, 0.00002) (32, 0.00003) (64, 0.00003) (128, 0.00002) (256, 0.00002) (512, 0.00002) (1024, 0.00002)
merkle-tree: (2, 0.00001) (3, 0.00001) (4, 0.00001) (8, 0.00001) (16, 0.00001) (32, 0.00002) (64, 0.00004) (128, 0.00006) (256, 0.00009) (512, 0.00018) (1024, 0.00031)
sparse-merkle-tree: (2, 0.00002) (3, 0.00002) (4, 0.00002) (8, 0.00002) (16, 0.00003) (32, 0.00004) (64, 0.00005) (128, 0.00005) (256, 0.00005) (512, 0.00007) (1024, 0.00007)
oZKS: (2, 0.00096) (3, 0.00128) (4, 0.00059) (8, 0.00090) (16, 0.00071) (32, 0.00202) (64, 0.00110) (128, 0.00093) (256, 0.00119) (512, 0.00073) (1024, 0.00100)
