merkle-patricia-trie: (2, 0.00017) (3, 0.00018) (4, 0.00020) (8, 0.00008) (16, 0.00009) (32, 0.00008) (64, 0.00008) (128, 0.00008) (256, 0.00008) (512, 0.00008) (1024, 0.00010)
merkle-tree: (2, 0.00044) (3, 0.00026) (4, 0.00019) (8, 0.00020) (16, 0.00027) (32, 0.00011) (64, 0.00010) (128, 0.00011) (256, 0.00010) (512, 0.00012) (1024, 0.00010)
sparse-merkle-tree: (2, 0.00019) (3, 0.00021) (4, 0.00009) (8, 0.00009) (16, 0.00009) (32, 0.00008) (64, 0.00011) (128, 0.00019) (256, 0.00023) (512, 0.00010) (1024, 0.00011)
merkle-patricia-trie: (2, 0.00007) (3, 0.00006) (4, 0.00008) (8, 0.00010) (16, 0.00007) (32, 0.00006) (64, 0.00007) (128, 0.00007) (256, 0.00006) (512, 0.00007) (1024, 0.00009)
merkle-tree: (2, 0.00036) (3, 0.00027) (4, 0.00011) (8, 0.00010) (16, 0.00008) (32, 0.00021) (64, 0.00019) (128, 0.00017) (256, 0.00019) (512, 0.00007) (1024, 0.00007)
sparse-merkle-tree: (2, 0.00007) (3, 0.00007) (4, 0.00007) (8, 0.00007) (16, 0.00006) (32, 0.00007) (64, 0.00009) (128, 0.00008) (256, 0.00019) (512, 0.00020) (1024, 0.00006)
merkle-patricia-trie: (2, 0.00003) (3, 0.00003) (4, 0.00003) (8, 0.00003) (16, 0.00004) (32, 0.00004) (64, 0.00004) (128, 0.00004) (256, 0.00004) (512, 0.00004) (1024, 0.00004)
merkle-tree: (2, 0.00003) (3, 0.00004) (4, 0.00004) (8, 0.00003) (16, 0.00003) (32, 0.00004) (64, 0.00003) (128, 0.00003) (256, 0.00003) (512, 0.00004) (1024, 0.00003)
sparse-merkle-tree: (2, 0.00003) (3, 0.00003) (4, 0.00003) (8, 0.00003) (16, 0.00004) (32, 0.00003) (64, 0.00004) (128, 0.00004) (256, 0.00003) (512, 0.00004) (1024, 0.00003)
merkle-patricia-trie: (2, 0.00020) (3, 0.00020) (4, 0.00017) (8, 0.00017) (16, 0.00017) (32, 0.00017) (64, 0.00017) (128, 0.00019) (256, 0.00019) (512, 0.00018) (1024, 0.00019)
merkle-tree: (2, 0.00020) (3, 0.00016) (4, 0.00007) (8, 0.00007) (16, 0.00008) (32, 0.00014) (64, 0.00014) (128, 0.00015) (256, 0.00017) (512, 0.00006) (1024, 0.00007)
sparse-merkle-tree: (2, 0.00007) (3, 0.00006) (4, 0.00006) (8, 0.00007) (16, 0.00011) (32, 0.00008) (64, 0.00007) (128, 0.00006) (256, 0.00018) (512, 0.00018) (1024, 0.00016)
merkle-patricia-trie: (2, 0.00018) (3, 0.00018) (4, 0.00017) (8, 0.00017) (16, 0.00017) (32, 0.00017) (64, 0.00018) (128, 0.00018) (256, 0.00019) (512, 0.00018) (1024, 0.00017)
merkle-tree: (2, 0.00018) (3, 0.00015) (4, 0.00007) (8, 0.00007) (16, 0.00006) (32, 0.00016) (64, 0.00020) (128, 0.00017) (256, 0.00018) (512, 0.00006) (1024, 0.00006)
sparse-merkle-tree: (2, 0.00007) (3, 0.00007) (4, 0.00006) (8, 0.00009) (16, 0.00006) (32, 0.00006) (64, 0.00006) (128, 0.00007) (256, 0.00019) (512, 0.00017) (1024, 0.00017)
